id,word,language
1,anal,en
2,anus,en
3,arse,en
4,ass,en
5,balls,en
6,ballsack,en
7,bastard,en
8,biatch,en
9,bitch,en
10,bloody,en
11,blow job,en
12,blowjob,en
13,bollock,en
14,bollok,en
15,boner,en
16,boob,en
17,bugger,en
18,bum,en
19,butt,en
20,buttplug,en
21,clitoris,en
22,cock,en
23,coon,en
24,crap,en
25,cunt,en
26,damn,en
27,dick,en
28,dickhead,en
29,dildo,en
30,dyke,en
31,fuck,en
32,fucking,en
33,fag,en
34,feck,en
35,felching,en
36,fellate,en
37,fellatio,en
38,flange,en
39,fxxk,en
40,fxxking,en
41,fudge packer,en
42,fudgepacker,en
43,God damn,en
44,Goddamn,en
45,hell,en
46,homo,en
47,jerk,en
48,jizz,en
49,knob end,en
50,knobend,en
51,labia,en
52,lmao,en
53,lmfao,en
54,muff,en
55,nigga,en
56,nigger,en
57,oral,en
58,omg,en
59,penis,en
60,piss,en
61,poop,en
62,prick,en
63,pube,en
64,pussy,en
65,queer,en
66,shit,en
67,scrotum,en
68,sex,en
69,sh1t,en
70,shit,en
71,slut,en
72,smegma,en
73,spunk,en
74,tit,en
75,tosser,en
76,turd,en
77,twat,en
78,vagina,en
79,wank,en
80,whore,en
81,wtf,en
