,sp_count,up_count,title_cha,title_word,cha_word,up_cha,up_word,bad_word,class
0,2.0,10.0,63.0,11.0,5.7,15.0,90.0,0.0,0
1,0.0,5.0,56.0,11.0,5.1,8.0,45.0,0.0,0
2,0.0,6.0,48.0,10.0,4.8,12.0,60.0,0.0,0
3,2.0,11.0,56.0,10.0,5.6,19.0,110.0,0.0,0
4,0.0,9.0,53.0,9.0,5.9,16.0,100.0,0.0,0
5,1.0,40.0,41.0,8.0,5.1,97.0,500.0,0.0,0
6,1.0,10.0,59.0,13.0,4.5,16.0,76.0,0.0,0
7,2.0,11.0,70.0,13.0,5.4,15.0,84.0,0.0,0
8,1.0,1.0,39.0,8.0,4.9,2.0,12.0,0.0,1
9,0.0,12.0,49.0,12.0,4.1,24.0,100.0,0.0,0
10,2.0,4.0,41.0,10.0,4.1,9.0,40.0,0.0,0
11,0.0,8.0,64.0,9.0,7.1,12.0,88.0,0.0,0
12,0.0,14.0,76.0,15.0,5.1,18.0,93.0,0.0,0
13,0.0,14.0,92.0,17.0,5.4,15.0,82.0,0.0,0
14,0.0,7.0,47.0,11.0,4.3,14.0,63.0,0.0,1
15,0.0,7.0,44.0,8.0,5.5,15.0,87.0,0.0,1
16,1.0,10.0,49.0,11.0,4.5,20.0,90.0,0.0,0
17,1.0,11.0,53.0,12.0,4.4,20.0,91.0,0.0,0
18,0.0,2.0,11.0,2.0,5.5,18.0,100.0,0.0,0
19,1.0,8.0,61.0,9.0,6.8,13.0,88.0,0.0,0
20,0.0,5.0,11.0,3.0,3.7,45.0,166.0,0.0,0
21,5.0,13.0,66.0,12.0,5.5,19.0,108.0,0.0,0
22,1.0,6.0,39.0,8.0,4.9,15.0,75.0,0.0,0
23,0.0,14.0,66.0,14.0,4.7,21.0,100.0,0.0,1
24,4.0,4.0,73.0,14.0,5.2,5.0,28.0,0.0,0
25,2.0,2.0,56.0,13.0,4.3,3.0,15.0,0.0,1
26,3.0,14.0,88.0,15.0,5.9,15.0,93.0,0.0,0
27,0.0,10.0,57.0,11.0,5.2,17.0,90.0,0.0,0
28,3.0,10.0,64.0,9.0,7.1,15.0,111.0,0.0,0
29,1.0,7.0,52.0,10.0,5.2,13.0,70.0,0.0,0
30,2.0,13.0,59.0,12.0,4.9,22.0,108.0,0.0,0
31,4.0,7.0,72.0,18.0,4.0,9.0,38.0,0.0,0
32,3.0,9.0,51.0,9.0,5.7,17.0,100.0,0.0,0
33,1.0,12.0,65.0,14.0,4.6,18.0,85.0,0.0,0
34,1.0,10.0,54.0,11.0,4.9,18.0,90.0,0.0,1
35,3.0,10.0,58.0,12.0,4.8,17.0,83.0,0.0,0
36,2.0,2.0,45.0,8.0,5.6,4.0,25.0,0.0,1
37,1.0,5.0,26.0,6.0,4.3,19.0,83.0,0.0,0
38,0.0,9.0,65.0,10.0,6.5,13.0,90.0,0.0,0
39,1.0,13.0,76.0,13.0,5.8,17.0,100.0,0.0,0
40,0.0,4.0,35.0,7.0,5.0,11.0,57.0,0.0,1
41,0.0,14.0,86.0,14.0,6.1,16.0,100.0,0.0,0
42,2.0,6.0,66.0,13.0,5.1,9.0,46.0,0.0,0
43,4.0,16.0,68.0,14.0,4.9,23.0,114.0,0.0,0
44,4.0,7.0,50.0,9.0,5.6,14.0,77.0,0.0,1
45,0.0,4.0,31.0,7.0,4.4,12.0,57.0,0.0,0
46,4.0,15.0,77.0,15.0,5.1,19.0,100.0,0.0,0
47,1.0,15.0,93.0,16.0,5.8,16.0,93.0,0.0,1
48,4.0,20.0,91.0,20.0,4.6,21.0,100.0,0.0,0
49,2.0,9.0,60.0,10.0,6.0,15.0,90.0,0.0,0
50,1.0,4.0,63.0,11.0,5.7,6.0,36.0,0.0,0
51,1.0,4.0,45.0,8.0,5.6,8.0,50.0,0.0,0
52,1.0,9.0,62.0,13.0,4.8,14.0,69.0,0.0,0
53,3.0,11.0,71.0,14.0,5.1,15.0,78.0,1.0,0
54,2.0,9.0,61.0,11.0,5.5,14.0,81.0,0.0,0
55,0.0,10.0,55.0,13.0,4.2,18.0,76.0,0.0,0
56,3.0,13.0,61.0,13.0,4.7,21.0,100.0,0.0,0
57,3.0,12.0,71.0,13.0,5.5,16.0,92.0,0.0,0
58,0.0,5.0,54.0,10.0,5.4,9.0,50.0,0.0,0
59,4.0,7.0,64.0,12.0,5.3,10.0,58.0,0.0,0
60,2.0,10.0,60.0,12.0,5.0,16.0,83.0,0.0,0
61,5.0,12.0,62.0,14.0,4.4,19.0,85.0,0.0,0
62,0.0,7.0,70.0,15.0,4.7,10.0,46.0,0.0,1
63,0.0,2.0,13.0,2.0,6.5,15.0,100.0,0.0,0
64,0.0,14.0,81.0,13.0,6.2,17.0,107.0,0.0,1
65,1.0,1.0,41.0,7.0,5.9,2.0,14.0,0.0,0
66,4.0,12.0,70.0,13.0,5.4,17.0,92.0,0.0,0
67,0.0,4.0,50.0,8.0,6.2,8.0,50.0,0.0,1
68,5.0,13.0,66.0,15.0,4.4,19.0,86.0,0.0,0
69,2.0,13.0,90.0,18.0,5.0,14.0,72.0,0.0,1
70,3.0,4.0,58.0,11.0,5.3,6.0,36.0,0.0,1
71,0.0,3.0,16.0,3.0,5.3,18.0,100.0,0.0,0
72,3.0,7.0,62.0,16.0,3.9,11.0,43.0,0.0,0
73,5.0,13.0,97.0,17.0,5.7,13.0,76.0,0.0,0
74,2.0,9.0,99.0,17.0,5.8,9.0,52.0,0.0,1
75,1.0,3.0,47.0,11.0,4.3,6.0,27.0,0.0,0
76,2.0,11.0,59.0,12.0,4.9,18.0,91.0,0.0,1
