,title,class,sp_count,up_count,title_cha,title_word,cha_word,up_cha,up_word,bad_word
624,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs,1,1,18,56,9,6.2,32,200,0
625,Court Orders Obama To Pay $400 Million In Restitution,1,0,8,45,9,5.0,17,88,0
626,UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW -,1,2,18,58,12,4.8,31,150,0
627,Oscar Pistorius Attempts To Commit Suicide,1,0,6,37,6,6.2,16,100,0
628,Trump Votes For Death Penalty For Being Gay,1,0,8,36,8,4.5,22,100,0
629,Putin says: ‘Pope Francis Is Not A Man Of God’ | Must-See !!,1,6,11,52,12,4.3,21,91,0
630,New York Man Wanted For Infecting 240 Men And Women With HIV!!!,1,3,13,52,12,4.3,25,108,0
631,Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian,1,0,13,84,18,4.7,15,72,0
632,Malia Obama Fired From Cushy Internship At Spanish Embassy,1,0,9,50,9,5.6,18,100,0
633,Target to Discontinue Sale of Holy Bible,1,0,5,34,7,4.9,14,71,0
634,Youngest World Leader Bans George Soros’s Foundations From Austria,1,1,9,58,9,6.4,15,100,0
635,BREAKING: Hillary Clinton Has Third Heart Attack-Docs Says She ‘Won’t Survive’,1,5,19,68,11,6.2,27,172,0
636,"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died",1,0,17,60,13,4.6,28,130,0
637,President Trump Underscores US-Jamaica Relations,1,1,7,44,5,8.8,15,140,0
638,Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y,1,1,34,163,38,4.3,20,89,0
639,Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”,1,3,10,65,11,5.9,15,90,0
640,"Pope Francis At Mass: ‘Jesus Is Metaphorical, Not Literal’",1,3,9,50,9,5.6,18,100,0
641,Black Men Arrested In Philadelphia Starbucks Settle For $2 Million,1,0,9,57,10,5.7,15,90,0
642,ICE Detainer Issued for Suspected Wine Country Arsonist in Sonoma Jail,1,0,11,60,11,5.5,18,100,0
643,Former presidents walk fine line in Trump’s America,1,1,3,44,8,5.5,6,37,0
644,"Inside the Snapchat bloodbath: 60 minutes of terror which left 17 dead, bodies in classrooms and kids 'full of blood'",1,3,2,98,20,4.9,2,10,0
645,BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline,1,1,19,57,10,5.7,33,190,0
646,"Donald Trump inauguration: Artists who won't perform at ceremony include Elton John, Celine Dion and John Legend",1,2,9,96,17,5.6,9,52,0
647,BREAKING: Leaked Picture Of Obama Being Dragged Before A Judge In Handcuffs For Wiretapping Trump,1,1,22,83,15,5.5,26,146,0
648,Clinton Campaign official arrested by FBI on child rape/trafficking charges,1,0,5,66,10,6.6,7,50,0
649,"DONALD TRAIN NEWS: BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",1,3,35,82,12,6.8,42,291,0
650,"NRA President Jim Porter Falsely Accused of Saying, “It’s Only A Matter Of Time Before We Can Own Colored People Again”",1,3,22,99,21,4.7,22,104,0
651,Biden raises possibility of 2020 presidential bid,1,0,1,43,7,6.1,2,14,0
652,"NYC: PHYSICIAN and Wife Jump To Death…Leave Kids Behind Because They “Can’t Afford The Health Care” Only Hours After McCain, Murkowski, Collins and EVERY Democrat Voted To Keep Obamacare -",1,5,43,159,30,5.3,27,143,0
653,Snapchat is shutting down!,1,1,1,23,4,5.8,4,25,0
654,Rice told investigators why she unmasked Trump aides,1,0,2,45,8,5.6,4,25,0
655,BREAKING: Meryl Streep Just Got Fired From A Major Project For Lying About Trump -,1,2,21,68,15,4.5,30,140,0
656,Clinton Email: We Must Destroy Syria For Israel,1,1,8,40,8,5.0,20,100,0
657,CNN host Fareed Zakaria calls for jihad rape of white women,1,0,5,49,11,4.5,10,45,0
658,Could Trump Win The Nobel Peace Prize? Peace in Korean Peninsula Would Be Significant Foreign Policy Achievement,1,1,16,96,17,5.6,16,94,0
659,UPDATE: Hillary Clinton Leaves The Country As Mueller Indictment Is Announced,1,1,16,67,11,6.1,23,145,0
660,BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire,1,1,17,67,10,6.7,25,170,0
661,"NFL Lawyer, Who Claimed Super Bowl Is ‘Rigged’, Found Dead",1,2,12,49,10,4.9,24,120,0
662,"Japanese Whaling Crew Eaten Alive By Killer Whales, 16 dead",1,0,8,50,10,5.0,16,80,0
663,Barrels removed from Clinton property contain parts from 3 missing women.,1,0,2,63,11,5.7,3,18,0
664,"Liberal Women Hate Me Because Of My “Striking Beauty And Intellect”, Says Kellyanne Conway",1,2,14,77,14,5.5,18,100,0
665,Buzz Aldrin ‘passes UFO lie detector test leaving experts convinced that he encountered alien life’,1,2,5,85,15,5.7,5,33,0
666,Full text: Jeff Flake on Trump speech transcript,1,1,4,41,8,5.1,9,50,0
667,Mike Pence: “Allowing Rape Victims To Have Abortions Will Lead To Women Trying To Get Raped”,1,3,16,77,16,4.8,20,100,0
668,"Paul Ryan: “22 Million Americans Choose To Be Poor, So It’s Their Own Problem If They Can’t Afford To Be Healthy”",1,5,20,93,21,4.4,21,95,0
669,Pope Francis: Gun Owners 'Can’t Call Themselves Christian' Anymore,1,4,9,58,9,6.4,15,100,0
670,About Mayor Bhalla,1,0,3,16,3,5.3,18,100,0
671,Neon Nettle,1,0,2,10,2,5.0,20,100,0
672,Broward County Sheriff Fired For Lying About Parkland,1,0,8,46,8,5.8,17,100,0
673,Tom Price: “It’s Better For Our Budget If Cancer Patients Die More Quickly”,1,4,13,63,13,4.8,20,100,0
674,Breaking: Greitens Accuser Admits Photo Session May Have Been A “Dream”,1,3,11,61,11,5.5,18,100,0
