,title,class,sp_count,up_count,title_cha,title_word,cha_word,up_cha,up_word,bad_word
0,National Federation of Independent Business,0,0,4,39,5,7.8,10,80,0
1,comments in Fayetteville NC,0,0,3,24,4,6.0,12,75,0
2,"Romney makes pitch, hoping to close deal : Elections : The Rocky Mountain News",0,2,6,65,14,4.6,9,42,0
3,Democratic Leaders Say House Democrats Are United Against GOP Default Act,0,0,13,63,11,5.7,20,118,0
4,"Budget of the United States Government, FY 2008",0,0,6,40,8,5.0,15,75,0
5,Donald Trump exaggerates when he says China has 'total control' over North Korea,0,2,5,68,13,5.2,7,38,0
6,25th Amendment,0,0,1,13,2,6.5,7,50,0
7,子供たちのコト。私のコト。,0,0,0,13,1,13.0,0,0,0
8,"Briefing by White House Press Secretary Robert Gibbs, 9/10/09",0,0,7,53,9,5.9,13,77,0
9,A Solar Grand Plan: Scientific American,0,1,6,34,6,5.7,17,100,0
10,Covering Young Adults Under the Affordable Care Act: The Importance of Outreach and Medicaid Expansion,0,1,12,88,15,5.9,13,80,0
11,"Harry Reid Says GOP Should ""Stop Crying"" About Reconciliation",0,2,11,53,9,5.9,20,122,0
12,Political TV Ad Archive » PolAd,0,0,7,26,6,4.3,26,116,0
13,Bureau of Labor Statistics Data,0,0,4,27,5,5.4,14,80,0
14,Summary of the Affordable Care Act,0,0,4,29,6,4.8,13,66,0
15,'This Week' Transcript: Holder and Giuliani,0,3,5,38,6,6.3,13,83,0
16,Impeachment Talk Becomes a Cynical Game,0,0,5,34,6,5.7,14,83,0
17,Preventing the Flu: Good Health Habits Can Help Stop Germs,0,1,9,49,10,4.9,18,90,0
18,Las Vegas campaign rally,0,0,2,21,4,5.2,9,50,0
19,MoveOn.org Political Action: 10 things to know about McCain,0,1,6,51,9,5.7,11,66,0
20,Rand Paul Campaigns in Iowa for Miller-Meeks,0,1,6,38,7,5.4,15,85,0
21,Hispanic Populations Share of Wealth Likely to Increase by 2025,0,0,6,54,10,5.4,11,60,0
22,Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men,0,0,2,83,17,4.9,2,11,0
23,Already a lost decade: Working-age household income down more than 10% since 2000,0,2,2,69,13,5.3,2,15,0
24,U.S. Senate: Supreme Court Nominations: present-1789,0,3,6,47,6,7.8,12,100,0
25,PolitiFact’s annotated transcript of the second presidential debate,0,1,2,60,8,7.5,3,25,0
26,Obamas comments on capandtrade costs,0,0,1,32,5,6.4,3,20,0
27,Des Moines Register,0,0,3,17,3,5.7,17,100,0
28,The Tonight Show with Jay Leno,0,0,5,25,6,4.2,20,83,0
29,'This Week' Transcript: Pelosi and Gates,0,3,5,35,6,5.8,14,83,0
30,Losing Ground Foreclosures in the Subprime Market and Their Cost to Homeowners,0,0,8,67,12,5.6,11,66,0
31,Joint DHS and ODNI Election Security Statement,0,0,11,40,7,5.7,27,157,0
32,U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,0,1,10,47,9,5.2,21,111,0
33,Palin-Huey,0,1,2,10,1,10.0,20,200,0
34,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",0,2,9,86,13,6.6,10,69,0
35,"No, We Can’t? Or Won’t?",0,4,5,19,5,3.8,26,100,0
36,Barack Obama’s Remarks in St. Paul,0,1,5,29,6,4.8,17,83,0
37,letter to Chaffetz and Cummings,0,0,2,27,5,5.4,7,40,0
38,The Arena - Politico's daily debate with policymakers and opinion shapers,0,2,3,63,11,5.7,4,27,0
39,The Economic Burden Caused by Tax Code Complexity,0,0,7,42,8,5.2,16,87,0
40,McDonnell Letter Urges No Delay in Virginia Offshore Energy Exploration and Development,0,0,11,76,12,6.3,14,91,0
41,"To young people who are undocumented: This is your country, too.",0,1,2,54,11,4.9,3,18,0
42,Transcript of AP interview with Trump,0,0,4,32,6,5.3,12,66,0
43,Change We Can Believe In,0,0,5,20,5,4.0,25,100,0
44,Infrastructure Report Card 2005,0,0,3,28,4,7.0,10,75,0
45,"GOP Task Force, Lone Democrat Eye Trafficking Law",0,0,10,42,8,5.2,23,125,0
46,Dr. James Dobson,0,0,3,14,3,4.7,21,100,0
47,McCain: McSame as Bush,0,1,5,19,4,4.8,26,125,0
48,john.he.is,0,0,0,10,1,10.0,0,0,0
49,Remarks on counterterrorism at Stanford University,0,0,3,45,6,7.5,6,50,0
50,iQ media Clip Player,0,0,3,17,4,4.2,17,75,0
51,Remarks by the President on Increasing Oversight on Manipulation in Oil Markets,0,0,7,68,12,5.7,10,58,0
52,U.S. Army's Involvement in Motorsports,0,1,5,34,5,6.8,14,100,0
53,"UN Refugee Agency welcomes arrival of 10,000th Syrian refugee resettled to United States",0,0,7,76,13,5.8,9,53,0
54,Watch a replay of Fox News' 5 p.m. presidential debate,0,1,3,45,10,4.5,6,30,0
55,It’s Time for the Senate to Do Its Job – Congressman Mike Honda – Medium,0,1,10,58,15,3.9,17,66,0
56,"Ralph Nader on Barack Obama: ""It is Quite Clear He is a Corporate Candidate from A to Z""",0,3,12,71,18,3.9,16,66,0
57,Marco Rubio says Ted Cruz voted for defense cuts in Rand Paul's budget proposal,0,1,6,66,14,4.7,9,42,0
58,Births: Preliminary Data for 2005,0,1,3,29,5,5.8,10,60,0
59,Congress: Job Ratings,0,1,3,19,3,6.3,15,100,0
60,"Before leaving governor’s office in 2006, Mitt Romney’s staff eliminated e-mail records",0,3,3,76,12,6.3,3,25,0
61,"Transcript: The Democratic debate in Milwaukee, annotated",0,1,4,51,7,7.3,7,57,0
62,"Crist has experience to be vice president, McCain says",0,0,3,46,9,5.1,6,33,0
63,Strong Words in Ohio as Obama and Clinton Press On,0,0,7,41,10,4.1,17,70,0
64,LexisNexis(R) Publisher,0,2,4,22,2,11.0,18,200,0
65,“Dictionary” on President Obama’s Health Care Taxes,0,3,6,45,7,6.4,13,85,0
66,Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia,0,3,11,62,12,5.2,17,91,0
67,Gross Domestic Product Percent change from preceding period,0,0,4,52,8,6.5,7,50,0
68,Who Benefits from President Trump’s Child Care Proposals,0,1,7,49,8,6.1,14,87,0
69,Organizing for Action,0,0,2,19,3,6.3,10,66,0
70,2008 Presidential Election,0,0,2,24,3,8.0,8,66,0
71,The Return of the Viral Email,0,0,4,24,6,4.0,16,66,0
72,'This Week' Transcript: Rep. Paul Ryan,0,3,6,33,6,5.5,18,100,0
73,International Energy Statistics,0,0,3,29,3,9.7,10,100,0
74,Interview with Sen John McCain,0,0,5,26,5,5.2,19,100,0
75,Obama campaign radio ad,0,0,1,20,4,5.0,5,25,0
76,Remarks by the President on a New Strategy for Afghanistan and Pakistan,0,0,6,60,12,5.0,10,50,0
77,"At Trump hotel site, immigrant workers wary",0,0,2,37,7,5.3,5,28,0
78,"Preliminary Analysis of the Chairman’s Mark for the America’s Healthy Future Act, as Amended",0,2,9,79,14,5.6,11,64,0
79,Candidate Comparison,0,0,2,19,2,9.5,10,100,0
80,Political TV Ad Archive » PolAd,0,0,7,26,6,4.3,26,116,0
81,Ted Cruz' Full 'Meet the Press' Interview,0,3,6,35,7,5.0,17,85,0
82,"""New Energy"" Ad",0,2,3,13,3,4.3,23,100,0
83,Session Law,0,0,2,10,2,5.0,20,100,0
84,Interview with Rudy Giuliani,0,0,3,25,4,6.2,12,75,0
85,"'This Week' Transcript: McKay, Napolitano, Salazar and Allen",0,3,8,53,8,6.6,15,100,0
86,Missing Teen-Ager Found in New Jersey,0,1,6,32,6,5.3,18,100,0
87,Full text: Jeff Flake on Trump speech transcript,0,1,4,41,8,5.1,9,50,0
88,'This Week' Transcript: Biden,0,3,4,26,4,6.5,15,100,0
89,Rising to a New Generation of Global Challenges,0,0,5,40,8,5.0,12,62,0
90,Browse Congressional Bills,0,0,3,24,3,8.0,12,100,0
91,Taxable Estates Estate Tax Liability and Average Estate Tax Rate By Size of Gross Estate,0,0,13,74,15,4.9,17,86,0
92,Biden Issues Statement Following Conversation with Musharraf,0,0,6,54,7,7.7,11,85,0
93,Remarks by the President on the American Jobs Act,0,0,5,41,9,4.6,12,55,0
94,remarks in Philadelphia,0,0,1,21,3,7.0,4,33,0
95,Krugman calls Senate health care bill similar to law in Massachusetts,0,0,3,59,11,5.4,5,27,0
96,US Government Accountability Office Report to Congressional Committees,0,0,8,63,8,7.9,12,100,0
97,Philando Castile Had Been Stopped 52 Times By Police,0,0,8,44,9,4.9,18,88,0
98,Regular Session Senate Transcript,0,0,4,30,4,7.5,13,100,0
99,No More Dragging Up the Rear Arkansas Bows To Pressures To Put Schools To the Test,0,0,14,67,16,4.2,20,87,0
100,05/27/99 Committee on the Judiciary,0,0,2,31,5,6.2,6,40,0
101,About Bright Horizons Child Care & Family Solutions,0,1,7,44,8,5.5,15,87,0
102,No MidOct Paycheck for Troops if Government Shuts Down Lawmaker says,0,0,9,58,11,5.3,15,81,0
103,Full Interview Transcript: President Barack Obama,0,1,6,44,6,7.3,13,100,0
104,National Income and Product Accounts Table 175 Relation of Gross Domestic Product,0,0,9,70,12,5.8,12,75,0
105,America's Enduring Strength,0,1,3,25,3,8.3,12,100,0
106,Debt Day: A Symbol of Washington’s Arrogant Culture of Borrowing and Spending (Boehner Op-Ed on Townhall.com),0,5,13,94,16,5.9,13,81,0
107,'This Week' Transcript: Former Vice President Dick Cheney,0,3,8,50,8,6.2,16,100,1
108,Transcript: Blue-Ribbon Panel on Health Care,0,2,6,39,6,6.5,15,100,0
109,Republican response to President Barack Obamas Weekly radio address,0,0,5,59,9,6.6,8,55,0
110,The Colbert Report,0,0,3,16,3,5.3,18,100,0
111,U.S. Senate: U.S. Senate Roll Call Votes 105th Congress,0,1,10,47,9,5.2,21,111,0
112,Striking it Richer The Evolution of Top Incomes in the United States update with 2007 estimates,0,0,8,80,16,5.0,10,50,0
113,"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",0,0,8,54,9,6.0,14,88,0
114,China's Space Threat: How Missiles Could Target U.S. Satellites,0,2,10,55,9,6.1,18,111,0
115,Job Openings and Labor Turnover Survey News Release,0,0,7,44,8,5.5,15,87,0
116,"'This Week' Transcript: Goolsbee, Brown & Corker",0,4,6,42,7,6.0,14,85,0
117,Analysis of the 2008 Presidential Candidates’ Tax Plans,0,1,5,48,8,6.0,10,62,0
118,"U.S. considers 3,000 more troops for Afghanistan",0,0,3,42,7,6.0,7,42,0
119,"3rd Democratic debate transcript, annotated: Who said what and what it meant",0,1,2,65,12,5.4,3,16,0
120,"Joni Ernst ""Promises"" Ad",0,2,4,21,4,5.2,19,100,0
121,Testimony on the Alternative Minimum Tax,0,0,4,35,6,5.8,11,66,0
122,Obama Criticizes McCain on Lobbyists,0,0,5,32,5,6.4,15,100,0
123,SECRET VIDEO: Romney Tells Millionaire Donors What He REALLY Thinks of Obama Voters,0,1,26,71,13,5.5,36,200,0
124,Peace Through Strength and American Pride vs. “Enemy-Centric” Policy,0,3,8,60,9,6.7,13,88,0
125,'This Week' Transcript: Sen. Dianne Feinstein and Rep. Mike Rogers,0,3,9,57,10,5.7,15,90,0
126,There’s another choice – Gov. Gary Johnson – Medium,0,1,5,43,9,4.8,11,55,0
127,Florida Democrats Ask HHS to Protect Floridians from High Insurance Premiums in Marketplace,0,0,12,79,13,6.1,15,92,0
128,Giuliani in New Hampshire,0,0,3,22,4,5.5,13,75,0
129,Sale of the Etch A Sketch Brand,0,0,5,25,7,3.6,20,71,0
130,"Transcript of second McCain, Obama debate",0,0,4,36,6,6.0,11,66,0
131,"Romney For President Launches New Television Ad, ""Remember""",0,2,8,52,8,6.5,15,100,0
132,Mike Gravel 2008,0,0,2,14,3,4.7,14,66,0
133,letter filed on behalf of Sen Barack Obama and the Obama Exploratory Committee,0,0,6,66,13,5.1,9,46,0
134,School kids taught to praise Obama,0,0,2,29,6,4.8,6,33,0
135,Reps Cummings and Cole Interviewed on MSNBC,0,0,9,37,7,5.3,24,128,0
136,Local News Headlines Hawaii,0,0,4,24,4,6.0,16,100,0
137,Michael Bennet for US Senate,0,0,5,24,5,4.8,20,100,0
138,U.S. Senator Rand Paul of Kentucky,0,0,6,29,6,4.8,20,100,0
139,H.R.6060 - 109th Congress (2005-2006): Department of State Authorities Act of 2006,0,5,7,71,12,5.9,9,58,0
140,spreadsheet with key indicators from OECD Health Data 2009 health care expenditures per capita,0,0,6,81,14,5.8,7,42,0
141,Transcripts,0,0,1,11,1,11.0,9,100,0
142,"Care Without Coverage: Too Little, Too Late",0,1,7,37,7,5.3,18,100,0
143,Rep Mike Pence Web site,0,0,4,19,5,3.8,21,80,0
144,the Border Security Economic Opportunity and Immigration Modernization Act as passed by the Senate,0,0,8,85,14,6.1,9,57,0
145,White and Blue Fund ad,0,0,3,18,5,3.6,16,60,0
146,Pledge of Allegiance E-mail,0,1,3,24,4,6.0,12,75,0
147,McCain spoke up early,0,0,2,18,4,4.5,11,50,0
148,"Ad says Obama apologized, showed weakness on Iran",0,0,3,42,8,5.2,7,37,0
149,Hillary Clinton Remarks at National Urban League Conference,0,0,7,52,8,6.5,13,87,0
150,Friend of Israel also woos Palestinians Visiting Obama focuses on Israels right to defend itself,0,0,6,82,15,5.5,7,40,0
151,Transcripts,0,0,1,11,1,11.0,9,100,0
152,"Saudi Arabia Energy Data, Statistics and Analysis",0,0,6,43,7,6.1,13,85,0
